name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Abiding Grace,{2}{W},3.0,Enchantment,"At the beginning of your end step, choose one —
• You gain 1 life.
• Return target creature card with mana value 1 from your graveyard to the battlefield.",n/a,n/a,['W'],['W'],[],mh2,uncommon
Abundant Harvest,{G},1.0,Sorcery,Choose land or nonland. Reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and the rest on the bottom of your library in a random order.,n/a,n/a,['G'],['G'],[],mh2,common
Academy Manufactor,{3},3.0,Artifact Creature — Assembly-Worker,"If you would create a Clue, Food, or Treasure token, instead create one of each.",1,3,[],[],"['Treasure', 'Food']",mh2,rare
A-Dragon's Rage Channeler,{R},1.0,Creature — Human Shaman,"Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
Delirium — As long as there are four or more card types among cards in your graveyard, Dragon's Rage Channeler gets +2/+0, has flying, and attacks each combat if able.",1,1,['R'],['R'],"['Delirium', 'Surveil']",mh2,uncommon
Aeromoeba,{3}{U},4.0,Creature — Elemental Beast,"Flying
Discard a card: Switch Aeromoeba's power and toughness until end of turn.",2,4,['U'],['U'],['Flying'],mh2,common
"Aeve, Progenitor Ooze",{2}{G}{G}{G},5.0,Legendary Creature — Ooze,"Storm (When you cast this spell, copy it for each spell cast before it this turn. Copies become tokens.)
Aeve, Progenitor Ooze isn't legendary if it's a token.
Aeve enters the battlefield with a +1/+1 counter on it for each other Ooze you control.",2,2,['G'],['G'],['Storm'],mh2,rare
Altar of the Goyf,{5},5.0,Kindred Artifact — Lhurgoyf,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of card types among cards in all graveyards.
Lhurgoyf creatures you control have trample.",n/a,n/a,[],[],[],mh2,uncommon
Angelic Curator,{1}{W},2.0,Creature — Angel Spirit,"Flying, protection from artifacts",1,1,['W'],['W'],"['Flying', 'Protection']",mh2,uncommon
Arcbound Javelineer,{W},1.0,Artifact Creature — Soldier,"{T}, Remove X +1/+1 counters from Arcbound Javelineer: It deals X damage to target attacking or blocking creature.
Modular 1 (This creature enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",0,1,['W'],['W'],['Modular'],mh2,uncommon
Arcbound Mouser,{W},1.0,Artifact Creature — Cat,"Lifelink
Modular 1 (This creature enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",0,0,['W'],['W'],"['Lifelink', 'Modular']",mh2,common
Arcbound Prototype,{1}{W},2.0,Artifact Creature — Assembly-Worker,"Modular 2 (This creature enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",0,0,['W'],['W'],['Modular'],mh2,common
